,shhh.. Just listEn :)_A Rocket to the Moon
2172,rumble
2173,like
2174,earthquake
2175,shakes
2176,house
2177,glass
2178,rattles
2179,ceramic
2180,horses
2181,mantelpiece
2182,jump
2183,around
2184,barbara
2185,falls
2186,floor
2187,look
2188,one
2189,another
2190,horror
2191,leap
2192,run
2193,downstairs
2194,int
2195,living
2196,room
2197,day
2198,rumble
2199,builds
2200,climax
2201,loud
2202,metallic
2203,squeal
2204,crash
2205,barbara
2206,adam
2207,arrive
2208,front
2209,door
2210,smashes
2211,open
2212,revealing
2213,moving
2214,van
2215,ramp
2216,tenfoot
2217,electricblue
2218,italian
2219,leather
2220,couch
2221,slides
2222,smoothly
2223,ramp
2224,couch
2225,sits
2226,delia
2227,deetz
2228,couch
2229,crashes
2230,base
2231,staircase
2232,smashing
2233,newel
2234,post
2235,several
2236,balusters
2237,barbara
2238,cringes
2239,one
2240,balusters
2241,falls
2242,delia's
2243,side
2244,grasps
2245,like
2246,scepter
2247,two
2248,moving
2249,men
2250,rush
2251,ramp
2252,moving
2253,man
2254,sorry
2255,mrs
2256,deetz
2257,delia
2258,worry
2259,going
2260,anyway
2261,delia
2262,relentlessly
2263,new
2264,york
2265,relentlessly
2266,fashion
2267,able
2268,relentlessly
2269,thin
2270,totally
2271,self
2272,assured
2273,also
2274,woman
2275,mission
2276,gut
2277,barbara
2278,adam's
2279,house
2280,remake
2281,upscale
2282,image
2283,delia's
2284,gaze
2285,living
2286,room
2287,looks
2288,adam
2289,barbara
2290,even
2291,eyes
2292,they're
2293,still
2294,holding
2295,baluster
2296,delia
2297,gets
2298,couch
2299,moves
2300,living
2301,room
2302,surveying
2303,odd
2304,mixture
2305,ambition
2306,resolution
2307,behind
2308,two
2309,moving
2310,men
2311,bring
2312,matching
2313,blue
2314,leather
2315,armchair
2316,armchair
2317,sits
2318,lydia
2319,deetz
2320,lydia
2321,age
2322,pretty
2323,girl
2324,wan
2325,pale
2326,overlydramatic
2327,dressed
2328,favorite
2329,color
2330,black
2331,combination
2332,little
2333,death
2334,rocker
2335,80's
2336,version
2337,edward
2338,gorey's
2339,little
2340,girls
2341,couple
2342,expensive
2343,cameras
2344,around
2345,neck
2346,already
2347,taking
2348,photographs
2349,moving
2350,men
2351,lydia
2352,cool
2353,lydia
2354,sullen
2355,lydia
2356,father's
2357,daughter
2358,first
2359,marriage
2360,lydia
2361,usually
2362,halfpissed
2363,underneath
2364,like
2365,lot
2366,moving
2367,men
2368,still
2369,hold
2370,chair
2371,waiting
2372,delia
2373,decide
2374,wants
2375,delia
2376,continuing
2377,jesus
2378,lived
2379,waltons
