,Rank,Song Name,Artist,Album,Lyrics,Year,bins
945,573,To the Moon & Back,Savage Garden,,"[Verse 1]
She's taking her time, making up the reasons
To justify all the hurt inside
Guess she knows from the smiles
And the look in their eyes
Everyone's got a theory about the bitter one

They're saying
""Mama never loved her much
And Daddy never keeps in touch
That's why she shies away
From human affection.""
But somewhere in a private place
She packs her bags for outer space
And now she's waiting
For the right kind of pilot to come (And she'll say to him...)
She's saying

[Chorus]
I would fly to the moon and back
If you'll be, if you'll be my baby
I've got a ticket for a world
Where we belong
So would you be my baby?

[Verse 2]
She can't remember a time
When she felt needed
If love was red then she was color blind
All her friends, they've been tried for treason
And crimes that were never defined

She's saying
""Love is like a barren place
And reaching out for human faith
Is, is like a journey
I just don't have a map for.""

So, baby's gonna take a dive
And push the shift to overdrive
Send a signal that she's hanging
All her hopes on the stars (What a pleasant dream...)

[Chorus]
I would fly to the moon and back
If you'll be, if you'll be my baby
I've got a ticket for a world
Where we belong
So would you be my baby?

Hold on
Hold on (5, 4, 3, 2, 1)

[Verse 3]
""Mama never loved her much
And Daddy never keeps in touch
That's why she shies away
From human affection.""
But somewhere in a private place
She packs her bags for outer space
And now she's waiting
For the right kind of pilot to come (And she'll say to him)
Just saying

[Chorus]
I would fly to the moon and back
If you'll be, if you'll be my baby
I've got a ticket for a world
Where we belong
So would you be my baby?

[Chorus]
I would fly to the moon and back
If you'll be, if you'll be my baby
I've got a ticket for a world
Where we belong
So would you be my baby",1996,90s
946,574,Heart of Stone,The Rolling Stones,GRRR!,"[Verse 1]
There've been so many girls that I've known
I've made so many cry and still I wonder why
Here comes the little girl
I see her walking down the street
She is all by herself
I try and knock her off her feet

[Chorus]
But, she'll never break, never break
Never break, never break this heart of stone
Oh, no, no, this heart of stone

[Verse 2]
What's different about her?
I don't really know
No matter how I try
I just can't make her cry

[Chorus]
'Cause she'll never break, never break
Never break, never break
This heart of stone
Oh, no, no, no, this heart of stone

[Verse 3]
Don't keep on looking that some old way
If you try acting sad, you will only make me glad
Better listen little girl
You go on walking down the street
I ain't got no love, I ain't the kind to meet

[Chorus]
'Cause she'll never break, never break
Never break, never break
This heart of stone

[Outro]
Oh, no, no, no
You'll never break this heart of stone, darling
No, no, this heart of stone
You'll never break it, darling
You won't break this heart of stone
Oh, no, no, no
You better go, you better go home
'Cause you'll, you'll never break this heart of stone
You better, you better drive on home",1964,60s
947,576,Impossible,Shontelle,No Gravity,"[Verse 1]
I remember years ago
Someone told me I should take
Caution when it comes to love
I did, I did
And you were strong and I was not
My illusion, my mistake
I was careless, I forgot
I did

[Pre-Chorus]
And now, when all is done, there is nothing to say
You have gone and so effortlessly
You have won, you can go ahead, tell them

[Chorus]
Tell them all I know now
Shout it from the rooftops
Write it on the skyline
All we had is gone now
Tell them I was happy
And my heart is broken
All my scars are open
Tell them what I hoped would be
Impossible, impossible
Impossible, Impossible

[Verse 2]
Falling out of love is hard
Falling for betrayal is worse
Broken trust and broken hearts
I know, I know
Thinking all you need is there
Building faith on love and words
Empty promises will wear
I know, I know

[Pre-Chorus]
And now, when all is gone, there is nothing to say
And if you're done with embarrassing me
On your own, you can go ahead, tell them

[Chorus]
Tell them all I know now
Shout it from the rooftops
Write it on the skyline
All we had is gone now
Tell them I was happy
And my heart is broken
All my scars are open
Tell them what I hoped would be
Impossible, impossible
Impossible, Impossible (Let me tell you now)
Impossible, impossible
Impossible, impossible

[Post-Chorus]
Ooh, impossible
(Yeah, yeah)

[Bridge]
I remember years ago
Someone told me I should take
Caution when it comes to love
I did

[Chorus]
Tell them all I know now (Yeah)
Shout it from the rooftops (Shout it from the rooftops)
Write it on the skyline
All we had is gone now (Hey)
Tell them I was happy (Tell them I was happy)
And my heart is broken (And my heart is broken)
All my scars are open
Tell them what I hoped would be (Whoa)
Impossible, impossible (Impossible, impossible)
Impossible, impossible (Let me tell you now)
Impossible, impossible (Said let me tell you now)
Impossible, impossible

[Outro]
I remember years ago
Someone told me I should take
Caution when it comes to love
I did",2010,2010s
948,577,Daphne Descends,The Smashing Pumpkins,Adore,"[Verse 1]
With the sugar sickness
You spy the kidnap kid
Who kids you to oblivion
It’s the perfect hassle
For the perfumed kiss
He makes you miss him more than home

[Chorus]
You love him
You love him more than this
You love him and you cannot, you can’t resist
You love him
You love him for yourself
You love him and no one, no one else

[Verse 2]
Past sidewalk ashes
A last lovers' arc
You come apart to intertwine
It was all so simple
As you watched him move
Across the darkness in your room

[Chorus]
You love him
You love him for yourself
You love him and no one, no one else

[Bridge]
Into the winding vines
The pretty boys dive
And through the pinhole stars
Into the shadow mind
Will you lose him then
On some gentle dawn?
This boy is here and gone

[Chorus]
You love him
You love him for yourself
You love him and no one, no one else
You love him
You love him more than this
You love him and you cannot, you can’t resist

[Outro]
You love him
You love him
You love him
You love him
You love him
You love him
You love him
You love him
You love him
You love him…",1998,90s
949,585,Love Ridden,Fiona Apple,Original Album Classics,"[Verse 1]
Love ridden, I've looked at you
With the focus I gave to my birthday candles
I've wished on the lidded blue flames under your brow
And, baby, I wished for you

[Verse 2]
Nobody sees when you are lyin' in your bed
And I wanna crawl in with you but I cry instead
I want your warm but it will only make me colder when it's over
So I can't tonight, baby

[Chorus]
No, not ""baby"" anymore
If I need you, I'll just use your simple name
Only kisses on the cheek from now on
And in a little while we'll only have to wave

[Bridge]
My hand won't hold you down no more
The path is clear to follow through
I stood too long in the way of the door
And now I'm giving up on
You

[Chorus]
No, not ""baby"" anymore
If I need you, I'll just use your simple name
Only kisses on the cheek from now on
And in a little while we'll only have to wave

No, not ""baby"" anymore
If I need you, I'll just use your simple name
Only kisses on the cheek from now on
And in a little while we'll only have to wave",1999,90s
950,586,All My Little Words,The Magnetic Fields,69 Love Songs,"[Verse 1]
You are a splendid butterfly
It is your wings that make you beautiful
And I could make you fly away (I could make you fly away)
But I could never make you stay
You said you were in love with me (you said you were in love with me)
Both of us know that that's impossible
And I could make you rue the day (rue the day)
But I could never make you stay

[Chorus]
Not for all the tea in China
Not if I could sing like a bird
Not for all North Carolina
Not for all my little words
Not if I could write for you
The sweetest song you ever heard
It doesn't matter what I do (doesn't matter what I do)
Not for all my little words

[Solo]

[Verse 2]
Now that you've made me want to die
You tell me that you're unboyfriendable
And I could make you pay in pain (pay in pain)
But I could never make you stay…

[Chorus]
Not for all the tea in China
Not if I could sing like a bird
Not for all North Carolina
Not for all my little words
Not if I could write for you
The sweetest song you ever heard
It doesn't matter what I do (doesn't matter what I do)
Not for all my little words
It doesn't matter what I do (doesn't matter what I do)
Not for all my little words",1999,90s
951,588,Loud Places (feat. Romy),Jamie xx,In Colour - Preview White Label,"[Verse 1: Romy]
I go to loud places
To search for someone
To be quiet with
Who will take me home
You go to loud places
To find someone who
Will take you higher than
I took you

[Chorus: Romy]
Didn't I take you to
Higher places you can't reach without me?
(I have never reached such heights) Reach without me
(I feel music in your eyes
I have never reached such heights)

[Verse 2: Romy]
I go to those places
Where we used to go
They seem so quiet now
I'm here, all alone
You go to new places
With I don't know who
And I don't know how
To follow you

[Bridge: Romy]
Higher
I take you higher and I’ll take you
Didn’t I take you higher?
I take you higher
I take you higher and I take you
Didn’t I take you higher?
I take you

[Chorus: Romy]
Didn't I take you to
Higher places you can't reach without me?
(I have never reached such heights) Reach without me
(I feel music in your eyes
I have never reached such heights)

(I feel music in your eyes
I have never reached such heights
I feel music in your eyes
I have never reached such heights)

[Outro: Romy]
You're in ecstasy without me
When you come down
I won't be around",2015,2010s
952,589,From Time,Drake,Nothing Was The Same (Deluxe),"[Intro: Jhené Aiko]
What's up? Been a minute since we kicked it
You've been caught up
With them bitches, I don't get it, you're a star love
You shouldn't have to deal with that
I'd never make you feel like that, 'cause...

[Chorus: Jhené Aiko]
I love me, I love me enough for the both of us
That's why you trust me
I know you been through more than most of us
So what are you? What are you, what are you so afraid of?
Darling you, you give but you cannot take love

[Verse 1: Drake]
Yeah, I needed to hear that shit, I hate when you're submissive
Passive aggressive when we're texting, I feel the distance
I look around the peers that surround me, these niggas tripping
I like when money makes a difference but don't make you different
Started realizing a couple places I could take it
I want to get back to when I was that kid in the basement
I want to take it deeper than money, pussy, vacation
And influence a generation that's lacking in patience
I've been dealing with my dad, speaking of lack of patience
Just me and my old man getting back to basics
We've been talking 'bout the future and time that we wasted
When he put that bottle down, girl that nigga's amazing
Well, fuck it, we had a couple Coronas
We might have rolled a white paper, just something to hold us
We even talked about you and our couple of moments
He said we should hash it out like a couple of grown ups
You a flower child, beautiful child, I'm in your zone
Looking like you came from the 70's on your own
My mother is 66 and her favorite line to hit me with is
Who the fuck wants to be 70 and alone?
You don't even know what you want from love anymore
I search for something I'm missing and disappear when I'm bored
But girl, what qualities was I looking for before?
Who you settling for? Who better for you than the boy, huh?

[Chorus: Jhené Aiko]
I love me, I love me enough for the both of us
That's why you trust me
I know you been through more than most of us
So what are you? What are you, what are you so afraid of?
Darling you, you give but you cannot take love

[Verse 2: Drake]
Uh, thinking 'bout Texas, back when Porscha used to work at Treasures
Or further back than that, before I had the Houston leverage
When I got Summer a Michael Kors with my momma's debit
A weak attempt at flexing, I'll never forget it
'Cause that night I played her three songs
Then we got to talking 'bout something we disagreed on
Then she start telling me how I'll never be as big as Trey Songz
Boy was she wrong, that was just negative energy for me to feed off
Now it's therapeutic blowing money in the Galleria
Or Beverly Center Macy's where I discovered Bria
Landmarks of the muses that inspired the music
When I could tell it was sincere without tryna prove it
The one that I needed was Courtney from Hooters on Peachtree
I've always been feeling like she was the piece to complete me
Now she engaged to be married, what's the rush on commitment?
Know we were going through some shit, name a couple that isn't
Remember our talk in the parking lot at the Ritz
Girl I felt like we had it all planned out, I guess I fucked up the vision
Learning the true consequences of my selfish decisions
When you find out how I'm living, I just hope I'm forgiven
It seem like you don't want this love anymore
I'm acting out in the open, it's hard for you to ignore
But girl, what qualities was I looking for before?
Who you settling for? Who better for you than the boy, huh?

[Chorus: Jhené Aiko]
I love me, I love me enough for the both of us
That's why you trust me
I know you been through more than most of us
So what are you? What are you, what are you so afraid of?
Darling you, you give but you cannot take love

[Outro: Baka]
""Been Baka aka Not Nice from time, G
Been a East Side ting
Scarborough ting from time, G
Been have up di ting dem from time, G
So I don't know what's wrong with these
Little wasteman out here eh?
Y'all need to know yourself.""",2013,2010s
953,590,Love Is Blindness,U2,Achtung Baby,"[Chorus]
Love is blindness, I don't want to see
Won't you wrap the night around me?
Oh, my heart
Love is blindness

[Verse 1]
I'm in a parked car, in a crowded street
You see your love made complete
Thread is ripping, the knot is slipping
Love is blindness

[Verse 2]
Love is clockworks and cold steel
Fingers too numb to feel
Squeeze the handle, blow out the candle
Love is blindness

[Chorus]
Love is blindness, I don't want to see
Won't you wrap the night around me?
Oh, my love
Blindness

[Bridge]
A little death without mourning
No call and no warning
Baby, a dangerous idea
That almost makes sense

[Verse 3]
Love is drowning in a deep well
All the secrets, and no one to tell
Take the money, honey...
Blindness

[Chorus]
Love is blindness, I don't want to see
Won't you wrap the night around me?
Oh, my love
Blindness",1991,90s
954,591,Cherokee,Cat Power,Sun,"[Intro]
It's my way
It's my way
It's my way
It's my way
It's my way

[Verse]
Never knew love like this
The wind, moon, the earth, the sky (Sky so high)
Never knew pain like this
Everything die (then die)
Never knew love like this
The sun, the sea, you and I (you and I)
Never knew pain, never knew shame
Now I know why

[Hook]
Bury me, marry me to the sky
Bury me, marry me to the sky
Bury me, marry me to the sky
Bury me, marry me to the sky

If I die before my time
Bury me upside down
Cherokee, kissing me
When I’m on my way down
If I die before my time
Bury me upside down
Cherokee, kissing me
When I’m, I'm going down

[Verse]
Never knew love like this
The wind, moon, the earth, the sky (Sky so high)
Never knew pain like this
Everything dies (then die)
Never knew love like this
The sun, the sea, you and I (you and I)
Never knew pain, never knew shame
Now I know why

[Hook]
Bury me, marry me to the sky
Bury me, marry me to the sky
Bury me, marry me to the sky

[Extro]
Feels like time is on my side
Bury me upside down, down
Cherokee, kissing me
When I’m, I’m going down",2012,2010s
955,596,Punchdrunk Lovesick Singalong,Radiohead,Oxford's Angels,"[Verse 1]
I wrapped you inside of my coat
When they came to firebomb the house
I didn't feel pain, 'cause no one can touch me
Now that I'm held in your spell

[Chorus]
Beautiful girl
Beautiful girl
Can turn your world into dust

[Verse 2]
Sell me a car that goes
Sell me a house that stands
I never cared before
I never cared before
I never cared before
Before, before, before

[Chorus]
Beautiful girl
Beautiful girl
Can turn your world into dust
Beautiful girl
Beautiful girl
Can turn your world into dust

[Outro]
I stood in front of her face
When the first bullet was shot",1994,90s
956,599,Ne me quitte pas,Jacques Brel,Ne Me Quitte Pas,"Intéressé(e) par l'explication des paroles de cette chanson ou d'autres ? Venez faire l'analyse des textes avec nous !

[Couplet 1]
Ne me quitte pas
Il faut oublier
Tout peut s'oublier
Qui s'enfuit déjà
Oublier le temps des malentendus
Et le temps perdu
A savoir comment
Oublier ces heures qui tuaient parfois
A coups de pourquoi
Le coeur du bonheur

[Refrain]
Ne me quitte pas
Ne me quitte pas
Ne me quitte pas
Ne me quitte pas

[Couplet 2]
Moi je t'offrirai des perles de pluie
Venues de pays où il ne pleut pas
Je creuserai la terre jusqu'après ma mort
Pour couvrir ton corps d'or et de lumière
Je ferai un domaine où l'amour sera roi
Où l'amour sera loi où tu seras reine

[Refrain]
Ne me quitte pas
Ne me quitte pas
Ne me quitte pas
Ne me quitte pas

[Couplet 3]
Ne me quitte pas
Je t'inventerai des mots insensés
Que tu comprendras
Je te parlerai de ces amants-là
Qui ont vu deux fois leur cœur s'embraser
Je te raconterai l'histoire de ce roi
Mort de n'avoir pas pu te rencontrer

[Refrain]
Ne me quitte pas
Ne me quitte pas
Ne me quitte pas
Ne me quitte pas

[Couplet 4]
On a vu souvent rejaillir le feu
De l'ancien volcan qu'on croyait trop vieux
Il est paraît-il des terres brûlées
Donnant plus de blé qu'un meilleur avril
Et quand vient le soir pour qu'un ciel flamboie
Le rouge et le noir ne s'épousent-ils pas?

[Refrain]
Ne me quitte pas
Ne me quitte pas
Ne me quitte pas
Ne me quitte pas

[Couplet 5]
Ne me quitte pas
Je ne vais plus pleurer
Je ne vais plus parler
Je me cacherai là
A te regarder
Danser et sourire
Et à t'écouter
Chanter et puis rire
Laisse-moi devenir
L'ombre de ton ombre
L'ombre de ta main
L'ombre de ton chien

[Refrain]
Ne me quitte pas
Ne me quitte pas
Ne me quitte pas
Ne me quitte pas",1972,70s
957,600,For You,Angus & Julia Stone,,"[Verse 1]
If I talk real slowly
If I try real hard
To make my point dear
That you have my heart
Here I go

[Pre-Chorus]
I'll tell you
What you already know
Here I go
I'll tell you
What you already know

[Chorus]
If you love me, with all of your heart
If you love me, I'll make you a star in my universe
You'll never have to go to work
You'll spend everyday, shining your light my way

[Verse 2]
If I talk real slowly
If I hold your hand
If you look real closely my love
You might understand
Here I go

[Pre-Chorus]
I'll tell you
What you already know
Here I go
I'll tell you
What you already know

[Chorus]
If you love me, with all that you are
If you love me I'll make you a star in my universe
You'll never have to go to work
You'll spend everyday, shining your light my way

Here I go

[Pre-Chorus]
I'll tell you
What you already know
Here I go
I'll tell you
What you already know

[Chorus]
If you love me, with all of your heart
If you love me, I'll make you a star in my universe
You'll never have to go to work
You'll spend everyday, shining your light my way",2010,2010s
958,603,Beautiful Freak,Eels,Beautiful Freak,"[Verse 1]
You're such a beautiful freak
I wish there were more just like you
You're not like all of the others

[Chorus]
And that is why I love you
Beautiful freak, beautiful freak
That is why I love you
Beautiful freak, beautiful freak

[Verse 2]
Some people think you have a problem
But that problem lies only with them
Just cause you are not like the others

[Chorus]
But that is why I love you
Beautiful freak, beautiful freak
Yeah that is why I love you
Beautiful freak, beautiful freak

[Bridge]
Too good for this world
But I hope you will stay
And I'll be here to see that you don't fade away

[Verse 3]
You're such a beautiful freak
I bet you are flying inside
Dart down and then go for cover

[Chorus]
And know that I, I love you
Beautiful freak, beautiful freak
You know that I, I love you
Beautiful freak, beautiful freak

[Outro]
Beautiful freak, beautiful freak
Beautiful freak, beautiful freak",1996,90s
959,604,A Sunday Kind of Love,Etta James,Her Best,"[Verse 1]
I want a Sunday kind of love
A love to last
Past Saturday night

And I’d like to know
It’s more than
Love at first sight
And I want a Sunday kind of love
Oh yeah
Yeah

I want a
A love that’s on the square
Can’t seem to find somebody
Someone to care

And I’m on a
Lonely road
That leads to nowhere
I need a Sunday kind of love

[Verse 2]
I do my Sunday dreaming, oh yeah
And all my Sunday scheming
Every minute, every hour, every day
Oh, I’m hoping to discover
A certain kind of lover
Who will show me the way

And my arms need someone
Someone to enfold
To keep me warm when Mondays
And Tuesdays grow cold

Love for all my life
To have and to hold
Oh and I want a
Sunday kind of love

Oh yeah
Yeah, yeah

I don’t want a Monday
Tuesday or Wednesday
Or Thursday, Friday
Or Saturday

Oh, nothing
But Sunday
Oh yeah

I want a Sunday
Sunday
I want a Sunday kind of love
Oh yeah

Sunday, Sunday
Sunday kind of love",1960,60s
960,607,Songbird,Eva Cassidy,Songbird,"[Verse 1]
For you, there'll be no crying
For you, the sun will be shining
'Cause I feel that when I'm with you
It's alright
I know it's right

[Chorus]
And the songbirds keep singing like they know the score
And I love you, I love you, I love you
Like never before

[Verse 2]
To you, I would give the world
To you, I'd never be cold
'Cause I feel that when I'm with you
It's alright
I know it's right

[Chorus]
And the songbirds keep singing like they know the score
And I love you, I love you, I love you
Like never before
Like never before
Like never before",1997,90s
961,611,Everybody Here Wants You,Jeff Buckley,Sketches for my Sweetheart the Drunk,"Twenty-nine pearls in your kiss, a singing smile
Coffee smell, and lilac skin, your flame in me
Twenty-nine pearls in your kiss, a singing smile
Coffee smell, and lilac skin, your flame in me
I'm only here for this moment

I know everybody here wants you
I know everybody here thinks they need you
I'll be waiting right here just to show you
How our love will blow it all away

Such a thing of wonder in this crowd
I'm a stranger in this town, you're free with me
And our eyes are locked in downcast love
I sit here proud
Even now you're undressed in your dreams with me
I'm only here for this moment

I know everybody here wants you
I know everybody here thinks he needs you
I'll be waiting right here just to show you
How our love will blow it all away

And all the tears we cried have dried on yesterday
A sea of fools have parted for us, there's nothing in our way, my love

Don't you see? Don't you see?
You're just the torch to put the flame to all our guilt and shame
And I'll rise like an ember in your name
No. No

I know everybody here wants you
I know everybody here thinks they need you
I'll be waiting right here just to show you
Oh let me show you that love can rise just like embers
Love can taste like the wine of the age, oh babe
And I know they all look so good from a distance
But I tell you I'm the one

I know everybody here well thinks he needs you, thinks he need you
And I'll be waiting right by here just to show you",1998,90s
962,618,Sweet Surrender,Sarah McLachlan,Surfacing,"[Verse 1]
It doesn't mean much
It doesn't mean anything at all
The life I've left behind me
Is a cold room

[Verse 2]
I've crossed the last line
From where I can't return
Where every step I took in faith betrayed me
And led me from
My home

[Chorus]
Sweet surrender
Is all that I have to give

[Verse 3]
Take me in
No questions asked
You strip away the ugliness
That surrounds me
(Who are you?)

[Verse 4]
Are you an angel?
Am I already that gone?
I only hope that I won't disappoint you
When I'm down here on
My knees
(Who are you?)

[Chorus]
Sweet surrender
Is all that I have to give
(Who are you?)

[Chorus]
Sweet surrender (surrender)
Is all that I have to give

[Bridge]
And I don't understand
How the touch of your hand
I would be the one to fall
I miss the little things
I miss everything
About you

[Verse 5]
It doesn't mean much
It doesn't mean anything at all
The life I left behind me
Is a cold room
(Who are you?)

[Chorus]
Sweet surrender (surrender)
Is all that I have to give
(Who are you?)

[Chorus]
Sweet surrender (surrender)
Is all that I have to give",1998,90s
963,620,Who You Love,John Mayer,Paradise Valley,"[Pre-Chorus: John Mayer]
You love, who you love
Who you love
You love, who you love
Who you love

[Verse 1: John Mayer]
My girl, she isn't the one
I saw coming
And sometimes I don't know which way to go
And I tried to run before
But I'm not running anymore
Because I've fought against it hard enough to know

[Pre-Chorus: John Mayer]
That you love, who you love
Who you love
You love, who you love
Who you love
You love, who you love
Who you love

[Chorus: John Mayer]
Oh, you can't make yourself stop dreaming
Who you're dreaming of
If it's who you love
Then it's who you love

[Verse 2: Katy Perry]
My boy ain't the one that I saw coming
And some have said his heart's too hard to hold
And it takes a little time
But you should see him when he shines
You never want to let that feeling go

[Pre-Chorus: Katy Perry & John Mayer]
When you love, who you love
Who you love
You love, who you love
Who you love
Yeah, you love, who you love
Who you love

[Chorus: John Mayer]
Oh, you can't make yourself stop dreaming
Who you're dreaming of
If it's who you love
Then it's who you love

[Pre-Chorus: John Mayer & Katy Perry]
Oh you love, who you love
Who you love
You love, who you love
Who you love
You love, who you love
Who you love

[Chorus: John Mayer]
Oh, you can't make yourself stop dreaming
Who you're dreaming of
If it's who you love
Then it's who you love

[Outro: Katy Perry]
It's who you love
Who you love
Who you love
Who you love
You're the one I love",2013,2010s
964,621,A Year Without Rain,Selena Gomez & the Scene,,"[Verse 1]
Can you feel me when I think about you?
With every breath I take
Every minute, no matter what I do
My world is an empty place
Like I've been wandering the desert for a thousand days (Oh)
Don't know if it's a mirage, but I always see your face, baby

[Chorus]
I'm missing you so much
Can't help it, I'm in love
A day without you is like a year without rain
I need you by my side
Don't know how I'll survive
A day without you is like a year without rain, oh, oh-oh
Whoa, whoa

[Verse 2]
The stars are burning, I hear your voice in my mind
(Voice in my mind)
Can't you hear me calling?
My heart is yearning, like the ocean that's running dry
Catch me, I'm falling
It's like the ground is crumbling underneath my feet
Won't you save me?
There's gonna be a monsoon when you get back to me
Oh, baby

[Chorus]
I'm missing you so much
Can't help it, I'm in love
A day without you is like a year without rain
I need you by my side (By my side)
Don't know how I'll survive (How I'll survive)
A day without you is like a year without rain, oh, oh-oh
Whoa, whoa

[Bridge]
So let this drought come to an end
And make this desert flower again
I'm so glad you found me
Stick around me baby, baby, baby, ooh
It's a world of wonder with you in my life
So hurry, baby, don't waste no more time
And I need you here, I can't explain
A day without you is like a year without rain, oh, oh-oh

[Chorus]
I'm missing you so much (So much)
Can't help it, I'm in love
A day without you is like a year without rain
I need you by my side (By my side)
Don't know how I'll survive
A day without you is like a year without rain, oh, oh-oh
Whoa, whoa, ooh",2010,2010s
965,628,Glory of Love,Peter Cetera,Solitude/Solitaire,"[Verse 1]
Tonight it's very clear
'Cause we're both lying here
There's so many things I wanna say
I will always love you
I would never leave you alone

[Verse 2]
Sometimes I just forget
Say things I might regret
It breaks my heart to see you crying
I don't wanna lose you
I could never make it alone

[Chorus]
I am a man who will fight for your honor
I'll be the hero you're dreaming of
We'll live forever
Knowing together
That we did it all for the glory of love

[Verse 3]
You keep me standing tall
You help me through it all
I'm always strong when you're beside me
I have always needed you
I could never make it alone

[Chorus]
I am the man who will fight for your honor
I'll be the hero you've been dreaming of
We'll live forever
Knowing together
That we did it all for the glory of love

[Bridge]
It's like a knight in shining armor
From a long time ago
Just in time I will save the day
Take you to my castle far away

[Chorus]
I am the man who will fight for your honor
I'll be the hero that your dreaming of
We're gonna live for ever
Knowing together
That we did it all for the glory of love

We'll live forever
Knowing together
That we did it all for the glory of love

[Outro]
We did it all for love
We did it all for love
We did it all for love
We did it all for love",1986,80s
966,629,Fire Meet Gasoline,Sia,1000 Forms of Fear,"[Verse 1]
It's dangerous to fall in love, but I
Wanna burn with you tonight
Hurt me
There's two of us, we're certain with desire
The pleasure's pain and fire
Burn me

[Pre-Chorus]
So come on
I'll take you on
Take you on
I ache for love, ache for us
Why don't you come, don't you come a little closer?
So come on now
Strike the match
Strike the match now
A perfect match
Perfect, somehow
We were meant for one another
Come a little closer

[Chorus]
Flame you came to me, fire meet gasoline
Fire meet gasoline, I'm burnin' alive
I can barely breathe, when you're here loving me
Fire meet gasoline, fire meet gasoline
I got all I need, when you came after me
Fire meet gasoline, I'm burnin' alive
I can barely breathe, when you're here loving me
Fire meet gasoline, fire meet gasoline
Fire meet gasoline burn with me tonight

[Verse 2]
And we will fly
Like smoke darkenin' the skies
I'm Eve, I wanna try
Take a bite

[Pre-Chorus Variation]
So come on now
Strike the match
Strike the match now
We're a perfect match
Perfect, somehow
We were meant for one another
Come a little closer

[Chorus]
Flame you came to me, fire meet gasoline
Fire meet gasoline, I'm burnin' alive
I can barely breathe, when you're here loving me
Fire meet gasoline, fire meet gasoline
I got all I need, when you came back to me
Fire meet gasoline, I'm burnin' alive
And I can barely breathe, when you're here loving me
Fire meet gasoline, burn with me tonight

[Bridge]
But it's a bad bet
Certain death
But I want what I want
And I got to get it
When the fire dies
Darkened skies
Hot ash, dead match
Only smoke is left
But it's a bad bet
Certain death
But I want what I want
And I got to get it
When the fire dies
Darkened the skies
Hot ash, dead match
Only smoke is left

[Chorus]
Flame you came to me, fire meet gasoline
Fire meet gasoline, I'm burnin' alive
I can barely breathe, when you're here loving me
Fire meet gasoline, fire meet gasoline
I got all I need, when you came back to me
Fire meet gasoline, I'm burnin' alive
And I can barely breathe, when you're here loving me
Fire meet gasoline, burn with me tonight

[Outro]
Burn with me tonight
Burn with me tonight
Burn with me tonight
Eh eh",2014,2010s
967,636,She'll Come Back To Me,Cake,Fashion Nugget,"[Verse 1]
Last night I said to her
I didn't want to live inside a lie
If she wants him
More than she wants me
Let this be

[Chorus]
She'll come back to me
She'll come back to me
She'll come back

[Verse 2]
All day I wait and wait
To hear her footsteps on my walkway
She never came
She never even called

[Chorus]
She'll come back to me
She'll come back to me
She'll come back

[Bridge]
Somehow I know it won't last
Somehow I know it won't last too long

[Chorus]
She'll come back to me
She'll come back to me
She'll come back to me
She'll come back to me",1996,90s
968,638,Love Is Strong,The Rolling Stones,Voodoo Lounge,"[Verse 1]
Your love is strong, and you're so sweet
You make me hard, you make me weak
Love is strong, and you're so sweet
And some day, babe, we got to meet

[Verse 2]
A glimpse of you was all it took
A stranger's glance, it got me hooked
And I'll follow you across the stars
I'll look for you in seedy bars

[Chorus]
What are you scared of, baby?
It's more than just a dream
I need some time
We make a beautiful team
A beautiful team

[Verse 3]
We're not strong, and you're so sweet (You're so sweet)
And some day, babe, we got to meet (Got to meet)
Just anywhere, out in the park
Out on the street, and in the dark
And I'll follow you through swirling seas
Down darkened woods with silent trees
Your love is strong, and you’re so sweet (You're so sweet)
You make me hard, you make me weak

[Chorus]
What are you scared of, baby?
It's more than just a dream
I need some time
We make a beautiful team
Beautiful

[Verse 4]
I'll wait for you until the dawn
My mind is ripped, my heart is torn
Your love is strong, and you're so sweet
Your love is bitter, and taken neat
Your love is strong, yeah, you're so sweet (Got to meet)

[Outro]
Your love is strong, yeah (You're so sweet)
You're so sweet, yeah
Your love is strong, yeah (You're so sweet, got to meet)
Come on, baby, come on, baby (You're so sweet)
(You're so sweet, got to meet)
Whoa yeah",1994,90s
969,639,Let My Baby Stay,Mac DeMarco,Salad Days,"[Verse 1]
I was made to love her
Been working at it
Half of my life
I’ve been an addict

[Pre-Chorus]
And she’s been good to me
Far as I can tell she’s happy
Livin’ with her Macky

[Chorus]
So please don’t take my love away
Let my baby stay
Let my baby stay
Please don’t take my love away
Let my baby stay
Let my baby stay

[Verse 2]
And where would I be
Feeling lonely
Separated from my one and only

[Pre-Chorus]
And what’s there left to say
Far as I can tell that day
Could be on its way

[Chorus]
So please don’t take my love away
Let my baby stay
Let my baby stay
Please don’t take my love away
Let my baby stay
Let my baby stay

[scat singing]",2014,2010s
